id,name,fullName,strength,speed,durability,power,combat,race,height/0,height/1,weight/0,weight/1,eyeColor,hairColor,publisher
257,Firebird,Bonita Juarez,8,40,14,100,42,,5'5',165 cm,125 lb,56 kg,Brown,Black,Marvel Comics
258,Firelord,Pyreus Kril,63,75,90,52,28,,6'4',193 cm,220 lb,99 kg,White,Yellow,Marvel Comics
259,Firestar,Angelica Jones,8,54,55,71,32,Mutant,5'8,173 cm,125 lb,56 kg,Green,Red,Marvel Comics
260,Firestorm,Jason Rusch,53,58,56,100,42,,-,0 cm,- lb,0 kg,Brown,Black,DC Comics
261,Firestorm,Ronald Raymond,80,58,80,100,40,Human,6'2,188 cm,202 lb,91 kg,Blue,Auburn,DC Comics
263,Flash,Jay Garrick,10,100,50,68,32,Human,5'11,180 cm,179 lb,81 kg,Blue,Brown / White,DC Comics
265,Flash II,Barry Allen,48,100,60,100,60,Black Racer,6'0,183 cm,195 lb,88 kg,Blue,Blond,Black Racer
266,Flash III,Wally West,10,100,60,100,32,Human,6'0,183 cm,190 lb,86 kg,-,-,Speed Demon
267,Flash IV,Bartholomew Allen II,10,100,32,100,48,Human,5'2,157 cm,115 lb,52 kg,Yellow,Auburn,Impulse
268,Forge,,10,12,28,25,48,,6',183 cm,180 lb,81 kg,Brown,Black,Marvel Comics
269,Franklin Richards,Franklin  Richards,80,50,60,100,50,Mutant,4'8,142 cm,100 lb,45 kg,Blue,Blond,Marvel Comics
270,Franklin Storm,Dr. Franklin Storm,10,1,1,0,10,,6'2',188 cm,205 lb,92 kg,Blue,Grey,Marvel Comics
271,Frenzy,Joanna Cargill,53,35,100,38,52,,6'11,211 cm,230 lb,104 kg,Brown,Black,Marvel Comics
273,Galactus,Galan,100,83,100,100,50,Cosmic Entity,28'9,876 cm,36400 lb,16 tons,Black,Black,Marvel Comics
274,Gambit,Remy Etienne LeBeau,10,23,28,55,84,Mutant,6'1,185 cm,179 lb,81 kg,Red,Brown,Marvel Comics
275,Gamora,Gamora Zen Whoberi Ben Titan,85,42,85,53,100,Zen-Whoberian,6'0,183 cm,170 lb,77 kg,Yellow,Black,Marvel Comics
277,Gary Bell,Gary Bell,5,8,10,54,10,Alpha,-,0 cm,- lb,0 kg,-,-,SyFy
278,General Zod,Dru-Zod,100,96,100,100,95,Kryptonian,-,0 cm,- lb,0 kg,Black,Black,DC Comics
280,Ghost Rider,Johnny Blaze,55,25,100,100,60,Demon,6'2,188 cm,220 lb,99 kg,Red,No Hair,Marvel Comics
284,Giganta,Doris Zuel,89,23,85,32,42,,205,62.5 meters,1400 lb,630 kg,Green,Red,DC Comics
285,Gladiator,Kallark,100,100,100,77,70,Strontian,6'6,198 cm,595 lb,268 kg,Blue,Blue,Marvel Comics
286,Goblin Queen,Madelyne Jennifer Pryor,10,23,28,65,56,,5'6,168 cm,110 lb,50 kg,Green,Red,Marvel Comics
287,Godzilla,Gojira,100,54,100,100,20,Kaiju,354'4,108.0 meters,200000000 lb,"90,000 tons",-,-,
288,Gog,,34,47,72,39,56,,-,0 cm,- lb,0 kg,-,-,DC Comics
289,Goku,Kakarot,100,75,90,100,100,Saiyan,5'9,175 cm,137 lb,62 kg,-,-,Shueisha
294,Gorilla Grodd,Grodd,53,33,70,100,65,Gorilla,6'6,198 cm,600 lb,270 kg,Yellow,Black,DC Comics
296,Gravity,Greg Willis,32,33,40,69,30,Human,5'10,178 cm,175 lb,79 kg,Blue,Brown,Marvel Comics
297,Greedo,Greedo,10,13,15,31,40,Rodian,5'7,170 cm,- lb,0 kg,Purple,-,George Lucas
298,Green Arrow,Oliver Queen,12,35,28,39,90,Human,6'2,188 cm,195 lb,88 kg,Green,Blond,DC Comics
299,Green Goblin,Norman Osborn,48,38,60,48,50,Human,5'11,180 cm,185 lb,83 kg,Blue,Auburn,Marvel Comics
300,Green Goblin II,Harold Osborn,55,37,50,44,26,,5'10,178 cm,170 lb,77 kg,Blue,Auburn,Marvel Comics
303,Groot,Groot,85,33,70,100,64,Flora Colossus,23'0,701 cm,8200 lb,4 tons,Yellow,-,Marvel Comics
305,Guy Gardner,Guy Gardner,90,53,64,100,64,Human-Vuldarian,6'2,188 cm,210 lb,95 kg,Blue,Red,DC Comics
306,Hal Jordan,Hal Jordan,90,75,80,100,70,Human,6'2,188 cm,200 lb,90 kg,Brown,Brown,DC Comics
307,Han Solo,Han Solo,10,17,20,43,60,Human,6'0,183 cm,176 lb,79 kg,Brown,Brown,George Lucas
308,Hancock,John Hancock,90,67,100,100,50,Human,6'2,188 cm,- lb,0 kg,Brown,Black,Sony Pictures
309,Harley Quinn,Harley Quinn,12,33,65,55,80,Human,5'7,170 cm,140 lb,63 kg,Blue,Blond,DC Comics
310,Harry Potter,Harry James Potter,7,21,10,100,50,Human,-,0 cm,- lb,0 kg,Green,Black,J. K. Rowling
311,Havok,Alexander Summers,10,25,60,71,45,Mutant,6',183 cm,175 lb,79 kg,Blue,Blond,Marvel Comics
312,Hawk,Henry Hall,38,35,95,43,42,,6'1,185 cm,197 lb,89 kg,Red,Brown,DC Comics
313,Hawkeye,Clint Barton,12,21,10,29,80,Human,6'3,191 cm,230 lb,104 kg,Blue,Blond,Goliath
314,Hawkeye II,Katherine Elizabeth Bishop,6,8,10,24,50,Human,5'5,165 cm,126 lb,57 kg,Blue,Black,Marvel Comics
315,Hawkgirl,Kendra Saunders,28,53,99,96,72,,5'9,175 cm,135 lb,61 kg,Green,Red,DC Comics
320,Heat Wave,Mick Rory,10,17,45,27,30,Human,5'11,180 cm,179 lb,81 kg,Blue,No Hair,DC Comics
321,Hela,,100,46,100,100,45,Asgardian,7'0,213 cm,500 lb,225 kg,Green,Black,Marvel Comics
322,Hellboy,Anung Un Rama,53,21,95,73,75,Demon,8'6,259 cm,350 lb,158 kg,Gold,Black,Dark Horse Comics
323,Hellcat,Patricia Walker,11,33,45,46,70,Human,5'8,173 cm,135 lb,61 kg,Blue,Red,Marvel Comics
325,Hercules,Heracles,100,46,85,89,100,Demi-God,6'5,196 cm,325 lb,146 kg,Blue,Brown,Marvel Comics
327,Hit-Girl,Mindy McCready,7,29,20,27,65,Human,-,0 cm,- lb,0 kg,-,-,Icon Comics
330,Hope Summers,Hope Summers,10,12,32,93,75,,5'6,168 cm,106 lb,48 kg,Green,Red,Marvel Comics
332,Hulk,Bruce Banner,100,63,100,98,85,Human / Radiation,8'0,244 cm,1400 lb,630 kg,Green,Green,Marvel Comics
333,Human Torch,Johnny Storm,11,63,70,87,42,Human / Radiation,5'10,178 cm,170 lb,77 kg,Blue,Blond,Marvel Comics
334,Huntress,Helena Rosa Bertinelli,10,23,28,34,95,,5'11,180 cm,130 lb,59 kg,Blue,Black,Batgirl III
335,Husk,Paige Elisabeth Guthrie,63,35,78,48,64,Mutant,5'7,170 cm,128 lb,58 kg,Blue,Blond,Marvel Comics
336,Hybrid,Scott Washington,63,58,75,100,80,Symbiote,5'9,175 cm,172 lb,77 kg,Brown,Black,Marvel Comics
337,Hydro-Man,Morris Bench,13,25,80,66,50,,6'2,188 cm,265 lb,119 kg,Brown,Brown,Marvel Comics
338,Hyperion,Mark Milton,100,100,95,87,80,Eternal,6'0,183 cm,460 lb,207 kg,Blue,Red,Marvel Comics
339,Iceman,Bobby Drake,32,53,100,100,64,Mutant,5'8,173 cm,145 lb,65 kg,Brown,Brown,Marvel Comics
340,Impulse,Bartholomew Allen II,10,100,60,74,60,Human,5'7,170 cm,145 lb,65 kg,Yellow,Auburn,Flash IV
341,Indiana Jones,Indiana Jones,10,17,30,19,30,Human,6'0,183 cm,176 lb,79 kg,-,-,George Lucas
342,Indigo,Iroque,63,50,50,100,50,Alien,-,0 cm,- lb,0 kg,-,Purple,DC Comics
343,Ink,Eric Gitter,28,17,40,73,50,Mutant,5'11,180 cm,180 lb,81 kg,Blue,No Hair,Marvel Comics
344,Invisible Woman,Susan Storm Richards,10,27,85,93,56,Human / Radiation,5'6,168 cm,120 lb,54 kg,blue,Blond,Marvel Comics
345,Iron Fist,Danny Rand,55,33,50,95,100,Human,5'11,180 cm,175 lb,79 kg,Blue,Blond,Marvel Comics
346,Iron Man,Tony Stark,85,58,85,100,64,Human,6'6,198 cm,425 lb,191 kg,Blue,Black,Marvel Comics
347,Iron Monger,Obadiah Stane,63,25,90,57,56,,-,0 cm,4230 lb,2 tons,Blue,No Hair,Marvel Comics
348,Isis,Adrianna Tomaz,48,75,46,50,56,,-,0 cm,- lb,0 kg,-,-,DC Comics
350,Jack of Hearts,Jonathan Hart,55,100,30,77,30,Human,5'1,155 cm,175 lb,79 kg,Blue / White,Brown,Marvel Comics
351,Jack-Jack,Jack-Jack Parr,34,67,80,100,6,Human,2'4,71 cm,30 lb,14 kg,Blue,Brown,Dark Horse Comics
352,James Bond,James Bond,13,17,35,25,90,Human,6'0,183 cm,- lb,0 kg,blue,Blond,Titan Books
353,James T. Kirk,James T. Kirk,11,17,30,30,75,Human,5'10,178 cm,170 lb,77 kg,Hazel,Brown,Star Trek
354,Jar Jar Binks,Jar Jar Binks,6,33,10,21,15,Gungan,6'4,193 cm,- lb,0 kg,Yellow,-,George Lucas
355,Jason Bourne,Jason Bourne,12,29,30,26,100,Human,-,0 cm,- lb,0 kg,-,-,
356,Jean Grey,Jean Grey,80,21,20,92,70,Mutant,5'6,168 cm,115 lb,52 kg,Green,Red,Phoenix
357,Jean-Luc Picard,Jean-Luc Picard,10,17,30,26,65,Human,-,0 cm,- lb,0 kg,-,-,Star Trek
358,Jennifer Kale,Jennifer Kale,10,35,42,74,72,,5'6,168 cm,122 lb,55 kg,Blue,Blond,Marvel Comics
360,Jessica Cruz,Jessica Cruz,90,46,50,100,55,Human,-,0 cm,- lb,0 kg,Green,Brown,DC Comics
361,Jessica Jones,Jessica Campbell Jones Cage,44,50,70,18,55,Human,5'7,170 cm,124 lb,56 kg,Brown,Brown,Power Woman
364,Jim Powell,Jim Powell,38,23,80,23,20,,-,0 cm,- lb,0 kg,-,-,ABC Studios
365,JJ Powell,JJ Powell,10,8,10,14,10,,-,0 cm,- lb,0 kg,-,-,ABC Studios
367,John Constantine,John Constantine,10,8,40,54,65,Human,6'0,183 cm,- lb,0 kg,Blue,Blond,DC Comics
369,John Wraith,John Wraith,12,35,28,87,80,,6'0,183 cm,195 lb,88 kg,Brown,Black,Marvel Comics
370,Joker,Jack Napier,10,12,60,43,70,Human,6'5,196 cm,192 lb,86 kg,Green,Green,DC Comics
371,Jolt,Helen Takahama,12,27,32,31,42,,5'5,165 cm,109 lb,49 kg,Blue,Black,Marvel Comics
372,Jubilee,Jubilation Lee,8,22,20,66,90,Mutant,5'5,165 cm,115 lb,52 kg,Red,Black,Marvel Comics
373,Judge Dredd,Joseph Dredd,18,38,50,52,95,Human,6'2,188 cm,- lb,0 kg,-,-,Rebellion
374,Juggernaut,Cain Marko,100,42,100,85,70,Human,9'5,287 cm,1900 lb,855 kg,Blue,Red,Marvel Comics
375,Junkpile,,38,17,90,81,30,Mutant,-,0 cm,- lb,0 kg,-,-,Marvel Comics
376,Justice,Vance Astrovik,10,33,70,55,30,Human,5'10,178 cm,180 lb,81 kg,Hazel,Brown,Marvel Comics
379,Kang,Nathaniel Richards,48,58,70,100,70,,6'3,191 cm,230 lb,104 kg,Brown,Brown,Iron Lad
380,Kathryn Janeway,Kathryn Janeway,8,21,25,21,50,Human,-,0 cm,- lb,0 kg,-,-,Star Trek
381,Katniss Everdeen,Katniss Everdeen,8,21,25,24,55,Human,-,0 cm,- lb,0 kg,-,-,
382,Kevin 11,Kevin Ethan Levin,7,12,14,100,40,Human,-,0 cm,- lb,0 kg,-,Black,DC Comics
383,Kick-Ass,Dave Lizewski,10,23,35,22,56,Human,-,0 cm,- lb,0 kg,Blue,Blond,Icon Comics
384,Kid Flash,Wallace Rudolph West,4,92,42,20,30,Human,-,0 cm,- lb,0 kg,Green,Red,DC Comics
386,Killer Croc,Waylon Jones,53,35,90,53,60,Metahuman,8'0,244 cm,790 lb,356 kg,Red,No Hair,DC Comics
387,Killer Frost,Caitlin Snow,10,13,35,59,30,Human,-,0 cm,- lb,0 kg,Blue,Blond,DC Comics
388,Kilowog,,90,53,42,100,80,Bolovaxian,7'8,234 cm,720 lb,324 kg,Red,No Hair,DC Comics
389,King Kong,King Kong,100,71,75,47,75,Animal,100'0,30.5 meters,20000000 lb,"9,000 tons",Yellow,Black,
390,King Shark,Nanaue,88,50,90,86,40,Animal,-,0 cm,- lb,0 kg,Black,No Hair,DC Comics
391,Kingpin,Wilson Grant Fisk,18,25,40,13,70,Human,6'7,201 cm,450 lb,203 kg,Blue,No Hair,Marvel Comics
392,Klaw,Ulysses Klaw,38,33,100,62,60,Human,6'2,188 cm,216 lb,97 kg,Red,No Hair,Marvel Comics
393,Kool-Aid Man,,18,8,10,9,14,,-,0 cm,- lb,0 kg,Black,No Hair,
394,Kraven II,Alyosha Kravinoff,34,23,28,43,85,Human,6'3,191 cm,220 lb,99 kg,Brown,Black,Marvel Comics
395,Kraven the Hunter,Sergei Kravinoff,32,35,42,25,85,Human,6'0,183 cm,235 lb,106 kg,Brown,Black,Marvel Comics
396,Krypto,Krypto the Superdog,80,100,90,82,40,Kryptonian,0'25,64 cm,40 lb,18 kg,Blue,White,DC Comics
397,Kyle Rayner,Kyle Rayner,90,50,60,100,60,Human,5'11,180 cm,175 lb,79 kg,Green,Black,DC Comics
398,Kylo Ren,Ben Solo,44,33,30,100,70,Human,-,0 cm,- lb,0 kg,-,-,George Lucas
400,Lady Deathstrike,Yuriko Oyama,28,42,85,48,90,Cyborg,5'9,175 cm,128 lb,58 kg,Brown,Black,Marvel Comics
401,Leader,Samuel Sterns,10,12,14,59,42,,5'10,178 cm,140 lb,63 kg,Green,No Hair,Marvel Comics
402,Leech,,5,12,14,62,14,,-,0 cm,- lb,0 kg,-,-,Marvel Comics
403,Legion,David Haller,100,42,30,100,75,Mutant,5'9,175 cm,130 lb,59 kg,Green / Blue,Black,Marvel Comics
404,Leonardo,Leonardo,16,50,65,59,80,Mutant,-,0 cm,- lb,0 kg,Blue,No Hair,IDW Publishing
405,Lex Luthor,Lex Luthor,53,25,65,68,70,Human,6'2',188 cm,210 lb,95 kg,Green,No Hair,DC Comics
406,Light Lass,Ayla Ranzz,10,35,28,67,42,,5'5,165 cm,120 lb,54 kg,Blue,Red,DC Comics
407,Lightning Lad,Garth Ranzz,10,23,28,60,42,,5'1,155 cm,145 lb,65 kg,Blue,Red,DC Comics
408,Lightning Lord,Mekt Ranzz,10,23,42,66,42,,6'3,191 cm,210 lb,95 kg,Blue,Red,DC Comics
409,Living Brain,,53,35,56,31,28,,6'6,198 cm,800 lb,360 kg,Yellow,-,Marvel Comics
410,Living Tribunal,,100,100,100,100,30,Cosmic Entity,-,0 cm,- lb,0 kg,Blue,No Hair,Marvel Comics
412,Lizard,Curtis Connors,51,27,70,63,56,Human,6'8,203 cm,510 lb,230 kg,Red,No Hair,Marvel Comics
413,Lobo,Lobo,100,54,100,100,85,Czarnian,7'6,229 cm,640 lb,288 kg,Red,Black,DC Comics
414,Loki,Loki Laufeyson,63,46,85,100,60,Asgardian,6'4,193 cm,525 lb,236 kg,Green,Black,Marvel Comics
415,Longshot,,10,27,10,71,70,Human,6'2,188 cm,80 lb,36 kg,Blue,Blond,Marvel Comics
416,Luke Cage,Luke Cage,63,29,95,44,70,Human,6'6,198 cm,425 lb,191 kg,Brown,Black,Power Man
418,Luke Skywalker,Luke Skywalker,38,42,25,100,100,Human,5'6,168 cm,170 lb,77 kg,Blue,Blond,George Lucas
419,Luna,Luna Maximoff,6,83,14,53,14,Human,-,0 cm,- lb,0 kg,-,-,Marvel Comics
421,Mach-IV,Abner Jenkins,36,60,84,60,56,,5'11,180 cm,175 lb,79 kg,Brown,Brown,Marvel Comics
422,Machine Man,"X-51, Aaron Stack",32,35,84,51,64,,6',183 cm,850 lb,383 kg,Red,Black,Marvel Comics
423,Magneto,Erik Magnus Lensherr,80,27,84,91,80,Mutant,6'2,188 cm,190 lb,86 kg,Grey,White,Marvel Comics
424,Magog,David Reid,48,23,64,66,72,,-,0 cm,- lb,0 kg,Blue,Blond,DC Comics
425,Magus,,100,70,99,100,74,,6'0,183 cm,- lb,0 kg,Black,-,Marvel Comics
426,Man of Miracles,,100,100,100,100,100,God / Eternal,-,0 cm,- lb,0 kg,Blue,Silver,Image Comics
427,Man-Bat,Robert Kirkland Langstrom,18,50,70,33,30,Human,-,0 cm,- lb,0 kg,Brown,Brown,DC Comics
428,Man-Thing,Dr. Theodore Sallis,32,8,100,100,40,,7'0,213 cm,500 lb,225 kg,Red,No Hair,Marvel Comics
429,Man-Wolf,John Jameson,44,35,42,45,70,,6'2',188 cm,200 lb,90 kg,Brown,Auburn,Marvel Comics
430,Mandarin,Khan,28,23,28,100,95,Human,6'2,188 cm,215 lb,97 kg,Blue,White,Marvel Comics
431,Mantis,,8,33,80,100,80,Human-Kree,5'6,168 cm,115 lb,52 kg,Green,Black,Marvel Comics
432,Martian Manhunter,J'onn J'onzz,95,92,100,100,85,Martian,6'7,201 cm,300 lb,135 kg,Red,No Hair,DC Comics
433,Marvel Girl,Rachel Anne Summers,85,47,42,100,80,,5'7',170 cm,125 lb,56 kg,Green,Red,Marvel Comics
435,Master Chief,John-117,73,35,80,69,100,Human / Altered,7',213 cm,- lb,0 kg,Brown,Brown,Microsoft
436,Match,Kent Connor,95,83,85,100,70,,-,0 cm,- lb,0 kg,Black,Black,DC Comics
437,Matt Parkman,Matthew Parkman,10,12,14,59,56,,-,0 cm,- lb,0 kg,-,-,NBC - Heroes
438,Maverick,Christopher Bradley,10,12,42,60,85,,6'4,193 cm,244 lb,110 kg,Blue,Black,Marvel Comics
439,Maxima,,90,35,56,81,75,,5'11,180 cm,160 lb,72 kg,Brown,Red,DC Comics
440,Maya Herrera,Maya Herrera,10,12,14,60,14,,-,0 cm,- lb,0 kg,-,-,NBC - Heroes
441,Medusa,Medusalith Amaquelin Boltagon,34,35,70,37,56,Inhuman,5'11,180 cm,130 lb,59 kg,Green,Red,Marvel Comics
442,Meltdown,Tabitha Smith,10,12,42,62,64,,5'5,165 cm,120 lb,54 kg,Blue,Blond,Boom-Boom
443,Mephisto,,85,35,95,100,42,,6'6,198 cm,310 lb,140 kg,White,Black,Marvel Comics
444,Mera,Mera,62,79,60,92,80,Atlantean,5'9,175 cm,160 lb,72 kg,Blue,Red,DC Comics
445,Metallo,John Corben,53,23,95,86,64,Android,6'5,196 cm,200 lb,90 kg,Green,Brown,DC Comics
448,Metron,Metron,10,47,56,100,28,,6'1,185 cm,190 lb,86 kg,Blue,Black,DC Comics
449,Micah Sanders,Micah Sanders,8,12,14,57,14,,-,0 cm,- lb,0 kg,Brown,Black,NBC - Heroes
450,Michelangelo,,14,50,65,59,75,Mutant,-,0 cm,- lb,0 kg,Blue,-,IDW Publishing
451,Micro Lad,Gim Allon,28,27,28,44,32,,6',183 cm,170 lb,77 kg,Grey,Brown,DC Comics
452,Mimic,Calvin Montgomery Rankin,67,47,56,79,42,,6'2,188 cm,225 lb,101 kg,Brown,Brown,Marvel Comics
454,Misfit,Charlotte Gage-Radcliffe,32,23,80,91,42,,-,0 cm,- lb,0 kg,Blue,Red,Batgirl V
455,Miss Martian,M'gann M'orzz,85,58,100,100,45,,5'10,178 cm,135 lb,61 kg,Red,Red,DC Comics
456,Mister Fantastic,Reed Richards,10,18,70,33,64,Human / Radiation,6'1,185 cm,180 lb,81 kg,Brown,Brown,Marvel Comics
457,Mister Freeze,Victor Fries,32,12,70,37,28,Human,6'0,183 cm,190 lb,86 kg,-,-,DC Comics
458,Mister Knife,J'son,10,17,30,13,65,Spartoi,-,0 cm,- lb,0 kg,Blue,Brown,Marvel Comics
459,Mister Mxyzptlk,Mr. Mxyzptlk,85,100,100,100,50,God / Eternal,-,0 cm,- lb,0 kg,-,-,DC Comics
460,Mister Sinister,Nathaniel Essex,48,46,90,100,50,Human / Altered,6'5,196 cm,285 lb,128 kg,Red,Black,Marvel Comics
461,Mister Zsasz,Victor Zsasz,22,33,28,18,85,Human,-,0 cm,- lb,0 kg,Blue,Blond,DC Comics
462,Mockingbird,Barbara Morse,31,38,20,48,95,Human,5'9,175 cm,135 lb,61 kg,Blue,Blond,Marvel Comics
463,MODOK,George Tarleton,18,25,25,79,15,Cyborg,12'0,366 cm,750 lb,338 kg,White,Brownn,Marvel Comics
467,Molten Man,Mark Raxton,73,23,84,53,56,,6'5,196 cm,550 lb,248 kg,Gold,Gold,Marvel Comics
469,Monica Dawson,Monica Dawson,10,35,14,48,90,,-,0 cm,- lb,0 kg,-,-,NBC - Heroes
470,Moon Knight,Marc Spector,36,23,42,28,75,Human,6'2,188 cm,225 lb,101 kg,Brown,Brown,Marvel Comics
471,Moonstone,Karla Sofen,67,47,52,74,80,,5'11,180 cm,130 lb,59 kg,Blue,Blond,Marvel Comics
472,Morlun,Morlun,60,35,42,74,56,,6'2,188 cm,175 lb,79 kg,White / Red,Black,Marvel Comics
474,Moses Magnum,Moses Magnum,28,12,42,55,56,,5'9,175 cm,159 lb,72 kg,Brown,Black,Marvel Comics
475,Mr Immortal,Craig Hollis,10,8,100,69,30,Mutant,6'2,188 cm,156 lb,70 kg,Blue,Blond,Marvel Comics
476,Mr Incredible,Robert Parr,83,33,95,29,40,Human,6'7,201 cm,350 lb,158 kg,Blue,Blond,Dark Horse Comics
477,Ms Marvel II,Sharon Ventura,63,23,84,11,56,,5'8,173 cm,135 lb,61 kg,Blue,Red,She-Thing
478,Multiple Man,James Arthur,11,23,70,28,62,,5'11',180 cm,155 lb,70 kg,Blue,Brown,Marvel Comics
479,Mysterio,Quentin Beck,10,17,40,82,70,Human,5'11,180 cm,175 lb,79 kg,Brown,No Hair,Marvel Comics
480,Mystique,Raven Darkholme,12,23,64,64,74,Mutant,5'10,178 cm,120 lb,54 kg,Yellow (without irises),Red / Orange,Marvel Comics
481,Namor,Namor McKenzie,95,58,70,73,85,Atlantean,6'2,188 cm,278 lb,125 kg,Grey,Black,Marvel Comics
483,Namora,Aquaria Nautica Neptunia,85,42,42,48,64,,5'11,180 cm,189 lb,85 kg,Blue,Blond,Marvel Comics
484,Namorita,Namorita Prentiss,72,47,70,37,70,,5'6,168 cm,225 lb,101 kg,Blue,Blond,Marvel Comics
485,Naruto Uzumaki,,80,32,80,100,100,Human,5'6,168 cm,121 lb,54 kg,-,-,Shueisha
487,Nebula,,52,13,50,42,60,Luphomoid,6'1,185 cm,185 lb,83 kg,Blue,No Hair,Marvel Comics
488,Negasonic Teenage Warhead,Ellie Phimister,7,8,10,45,35,Mutant,-,0 cm,- lb,0 kg,Black,Black,Marvel Comics
489,Nick Fury,Nicholas Joseph Fury,11,23,42,25,100,Human,6'1,185 cm,221 lb,99 kg,Brown,Brown / White,Marvel Comics
490,Nightcrawler,Kurt Wagner,10,47,14,76,80,,5'9',175 cm,195 lb,88 kg,Yellow,Indigo,Marvel Comics
491,Nightwing,Dick Grayson,11,33,28,36,100,Human,5'10,178 cm,175 lb,79 kg,Blue,Black,Batman II
492,Niki Sanders,Nicole Sanders,52,35,28,37,56,,-,0 cm,- lb,0 kg,Blue,Blond,NBC - Heroes
493,Nina Theroux,,5,8,10,68,20,Alpha,-,0 cm,- lb,0 kg,-,-,SyFy
495,Northstar,Jean-Paul Beaubier,18,83,56,65,70,,5'11,180 cm,185 lb,83 kg,Blue,Black,Marvel Comics
