id,name,fullName,strength,speed,durability,power,combat,race,height/0,height/1,weight/0,weight/1,eyeColor,hairColor,publisher
496,Nova,Richard Rider,85,75,100,100,80,Human,6'1,185 cm,190 lb,86 kg,Brown,Brown,Marvel Comics
497,Nova,Frankie Raye,60,100,100,100,35,Human / Cosmic,5'4,163 cm,130 lb,59 kg,White,Red,Marvel Comics
498,Odin,Odin Borson,83,67,95,100,90,God / Eternal,6'9,206 cm,650 lb,293 kg,Blue,White,Marvel Comics
499,Offspring,Luke O'Brian,10,35,99,100,56,,-,0 cm,- lb,0 kg,-,-,DC Comics
502,One Punch Man,Saitama,100,83,95,55,50,Human,5'9,175 cm,154 lb,69 kg,-,No Hair,Shueisha
503,One-Above-All,,100,100,100,100,100,Cosmic Entity,-,0 cm,- lb,0 kg,-,-,Marvel Comics
504,Onslaught,Onslaught,100,33,100,100,55,Mutant,10'0,305 cm,900 lb,405 kg,Red,No Hair,Marvel Comics
505,Oracle,Barbara Gordon,11,23,28,19,76,Human,5'10,178 cm,132 lb,59 kg,Blue,Red,Batgirl
506,Osiris,Amon Tomaz,85,60,95,65,42,,-,0 cm,- lb,0 kg,Brown,Brown,DC Comics
508,Ozymandias,Adrian Veidt,18,33,20,49,95,Human,-,0 cm,- lb,0 kg,Blue,Blond,DC Comics
509,Parademon,,28,17,50,53,25,Parademon,-,0 cm,- lb,0 kg,-,-,DC Comics
510,Paul Blart,Paul Blart,11,21,50,7,5,Human,5'7,170 cm,260 lb,117 kg,-,-,Sony Pictures
514,Penguin,Oswald Chesterfield Cobblepot,10,12,28,30,45,Human,5'2,157 cm,175 lb,79 kg,Blue,Black,DC Comics
516,Phantom Girl,Tinya Wazzo,10,23,28,53,42,,5'6,168 cm,120 lb,54 kg,Blue,Black,DC Comics
517,Phoenix,Jean Grey,100,83,100,100,80,Mutant,5'6,168 cm,115 lb,52 kg,Green,Red,Jean Grey
518,Plantman,Samuel Smithers,60,25,55,61,25,Mutant,6'0,183 cm,193 lb,87 kg,Green,Grey,Marvel Comics
520,Plastic Man,Patrick O'Brian,63,23,100,100,56,Human,6'1,185 cm,178 lb,80 kg,Blue,Black,DC Comics
521,Plastique,Bette Sans Souci,10,23,28,60,42,,5'6,168 cm,123 lb,55 kg,Blue,Red,DC Comics
522,Poison Ivy,Pamela Isley,14,21,40,100,40,Human,5'6,168 cm,110 lb,50 kg,Green,Red,DC Comics
523,Polaris,Lorna Dane,73,42,50,100,45,Mutant,5'7,170 cm,115 lb,52 kg,Green,Green,Marvel Comics
524,Power Girl,Kara Zor-L,100,100,100,100,75,Kryptonian,5'11,180 cm,180 lb,81 kg,blue,blond,DC Comics
526,Predator,Yautja,30,25,85,100,90,Yautja,7'0,213 cm,520 lb,234 kg,-,-,Dark Horse Comics
527,Professor X,Charles Francis Xavier,8,12,14,100,32,Mutant,6',183 cm,190 lb,86 kg,Blue,No Hair,Marvel Comics
528,Professor Zoom,Eobard Thawne,10,100,20,83,20,Human,5'11,180 cm,179 lb,81 kg,Blue,Strawberry Blond,DC Comics
529,Psylocke,Elizabeth Braddock,33,25,40,100,90,Mutant,5'11,180 cm,155 lb,70 kg,Blue,Purple,Marvel Comics
530,Punisher,Frank Castle,16,21,45,42,100,Human,6'0',183 cm,200 lb,90 kg,Blue,Black,Marvel Comics
531,Purple Man,Zebediah Killgrave,10,8,30,92,10,Human,5'11,180 cm,165 lb,74 kg,Purple,Purple,Marvel Comics
532,Pyro,St. John Allerdyce,10,12,14,54,28,,5'10,178 cm,150 lb,68 kg,Blue,Blond,Marvel Comics
533,Q,Q,12,17,100,100,40,God / Eternal,-,0 cm,- lb,0 kg,-,-,Star Trek
535,Question,Charles Victor Szasz,14,27,35,20,80,Human,6'2,188 cm,185 lb,83 kg,Blue,Blond,DC Comics
536,Quicksilver,Pietro Django Maximoff,28,100,60,81,56,Mutant,6'0,183 cm,175 lb,79 kg,Blue,Silver,Marvel Comics
537,Quill,Maxwell Jordan,10,12,14,23,14,,5'4,163 cm,124 lb,56 kg,Brown,Brown,Marvel Comics
538,Ra's Al Ghul,Ra's Al Ghul,28,32,42,27,100,Human,6'4,193 cm,215 lb,97 kg,Green,Grey,DC Comics
539,Rachel Pirzad,,4,8,10,52,10,Alpha,-,0 cm,- lb,0 kg,-,-,SyFy
540,Rambo,John Rambo,14,25,30,30,100,Human,5'10,178 cm,185 lb,83 kg,Brown,Black,
541,Raphael,,17,50,65,59,80,Mutant,-,0 cm,- lb,0 kg,-,No Hair,IDW Publishing
542,Raven,Rachel Roth,10,29,70,84,40,Human,5'5,165 cm,110 lb,50 kg,Indigo,Black,DC Comics
543,Ray,Ray Terrill,10,92,100,100,20,Human,5'10,178 cm,155 lb,70 kg,Green,Red,DC Comics
545,Red Arrow,Roy Harper,16,25,20,23,80,Human,5'11,180 cm,185 lb,83 kg,Green,Red,DC Comics
546,Red Hood,Jason Todd,12,23,28,35,95,Human,6'0,183 cm,180 lb,81 kg,Blue,Black,Robin II
547,Red Hulk,Thaddeus E. Ross,100,47,85,82,75,Human / Radiation,7'0,213 cm,1400 lb,630 kg,Yellow,Black,Marvel Comics
548,Red Mist,Chris Genovese,10,23,14,20,56,,-,0 cm,- lb,0 kg,-,-,Icon Comics
549,Red Robin,Tim Drake,11,27,32,29,80,Human,5'5,165 cm,125 lb,56 kg,Blue,Black,Robin III
550,Red Skull,Johann Shmidt,10,12,14,19,80,,6'2,188 cm,240 lb,108 kg,Blue,No Hair,Marvel Comics
551,Red Tornado,John Smith,38,67,60,100,40,Android,6'1,185 cm,325 lb,146 kg,Green,No Hair,DC Comics
555,Rey,,8,21,10,87,35,Human,5'57,297 cm,- lb,0 kg,Hazel,Brown,George Lucas
556,Rhino,Aleksei Mikhailovich Sytsevich,80,43,90,36,85,Human / Radiation,6'5,196 cm,710 lb,320 kg,Brown,Brown,Marvel Comics
557,Rick Flag,Richard Rogers Flag,11,23,28,19,95,,6'1,185 cm,189 lb,85 kg,Blue,Brown,DC Comics
558,Riddler,Edward Nigma,10,12,14,10,14,,-,0 cm,- lb,0 kg,-,-,DC Comics
559,Rip Hunter,Richard Hunter,8,8,10,100,25,Human,-,0 cm,- lb,0 kg,Blue,Blond,DC Comics
561,Robin,Dick Grayson,11,27,28,32,85,Human,5'10,178 cm,175 lb,79 kg,Blue,Black,Batman II
562,Robin II,Jason Todd,11,27,28,28,85,Human,6'0,183 cm,225 lb,101 kg,Blue,Red,Red Hood
563,Robin III,Tim Drake,11,27,28,29,85,Human,5'5,165 cm,125 lb,56 kg,Blue,Black,Red Robin
564,Robin V,Damian Wayne,8,33,16,29,65,Human,4'6,137 cm,84 lb,38 kg,Blue,Black,DC Comics
565,Robin VI,Carrie Kelley,8,25,20,17,70,Human,-,0 cm,- lb,0 kg,Green,Red,DC Comics
566,Rocket Raccoon,Rocket Raccoon,5,23,28,28,64,Animal,4'0,122 cm,55 lb,25 kg,Brown,Brown,Marvel Comics
567,Rogue,Anna Marie,10,12,28,80,80,,5'8,173 cm,120 lb,54 kg,Green,Brown / White,Marvel Comics
568,Ronin,Clint Barton,12,21,10,13,80,Human,6'3,191 cm,230 lb,104 kg,Blue,Blond,Goliath
569,Rorschach,Walter Joseph Kovacs,10,29,20,23,80,Human,5'6,168 cm,140 lb,63 kg,Blue,Red,DC Comics
570,Sabretooth,Victor Creed,48,38,90,50,100,Mutant,6'6,198 cm,380 lb,171 kg,Amber,Blond,Marvel Comics
571,Sage,Tessa,10,12,14,28,56,,5'7',170 cm,135 lb,61 kg,Blue,Black,Marvel Comics
572,Sandman,William Baker,75,46,90,100,60,Human,6'1,185 cm,450 lb,203 kg,Brown,Brown,Marvel Comics
573,Sasquatch,Walter Langkowski,80,23,56,15,42,,10',305 cm,2000 lb,900 kg,Red,Orange,Marvel Comics
574,Sauron,Sauron,85,33,100,100,70,Maiar,9'2,279 cm,- lb,0 kg,-,-,J. R. R. Tolkien
575,Savage Dragon,Kurr,70,54,85,66,72,,-,0 cm,- lb,0 kg,-,-,Image Comics
576,Scarecrow,Jonathan Crane,10,12,14,48,50,Human,6'0,183 cm,140 lb,63 kg,Blue,Brown,DC Comics
577,Scarlet Spider,Benjamin Reilly,53,60,74,46,56,Human,5'10',178 cm,165 lb,74 kg,Blue,Blond,Spider-Carnage
578,Scarlet Spider II,Kaine Parker,55,60,40,37,56,Clone,6'4,193 cm,250 lb,113 kg,Brown,Brown,Marvel Comics
579,Scarlet Witch,Wanda Maximoff,10,29,70,100,80,Mutant,5'7,170 cm,132 lb,59 kg,Blue,Brown,Marvel Comics
580,Scorpia,Elaine Coll,28,42,28,34,28,,-,0 cm,- lb,0 kg,Green,Red,Marvel Comics
581,Scorpion,MacDonald Gargan,52,60,85,49,80,Human,6'11,211 cm,689 lb,310 kg,Brown,Brown,Venom III
582,Sebastian Shaw,Sebastian Hiram Shaw,85,12,95,36,56,Mutant,-,0 cm,- lb,0 kg,-,-,Marvel Comics
583,Sentry,Robert Reynolds,100,100,84,100,40,Mutant,6'2,188 cm,194 lb,87 kg,Blue,Blond,Marvel Comics
584,Shadow King,Amahl Farouk,12,27,100,100,75,,6'1,185 cm,330 lb,149 kg,Red,-,Marvel Comics
585,Shadow Lass,Tasmia Mallor,10,67,20,79,80,Talokite,5'8,173 cm,120 lb,54 kg,Black,Black,DC Comics
586,Shadowcat,Kitty Pryde,8,21,25,69,70,Mutant,5'6,168 cm,110 lb,50 kg,Hazel,Brown,Marvel Comics
587,Shang-Chi,Shang-Chi,12,30,50,29,100,Human,5'10,178 cm,175 lb,79 kg,Brown,Black,Marvel Comics
588,Shatterstar,Gaveedra Seven,48,45,64,49,84,,6'3,191 cm,195 lb,88 kg,Brown,Red,Marvel Comics
589,She-Hulk,Jennifer Walters,100,42,100,40,70,Human,6'7,201 cm,700 lb,315 kg,Green,Green,Marvel Comics
590,She-Thing,Sharon Ventura,72,21,80,23,65,Human / Radiation,6'0,183 cm,340 lb,153 kg,Blue,No Hair,Ms Marvel II
591,Shocker,Herman Schultz,10,23,70,79,56,Human,5'9,175 cm,175 lb,79 kg,Brown,Brown,Marvel Comics
592,Shriek,Frances Louise Barrison,10,23,28,45,42,,5'8,173 cm,115 lb,52 kg,Yellow / Blue,Black,Marvel Comics
594,Sif,Sif,90,67,80,100,70,Asgardian,6'2,188 cm,425 lb,191 kg,Blue,Black,Marvel Comics
595,Silk,Cindy Moon,48,71,70,71,65,Human,-,0 cm,- lb,0 kg,Brown,Black,Marvel Comics
598,Silver Surfer,Norrin Radd,100,100,90,100,32,Alien,6'4,193 cm,225 lb,101 kg,White,No Hair,Marvel Comics
599,Silverclaw,Maria de Guadalupe Santiago,28,35,42,34,42,,5'2,157 cm,110 lb,50 kg,Brown,Black,Marvel Comics
600,Simon Baz,Simoon Baz,90,42,55,100,60,Human,-,0 cm,- lb,0 kg,Bown,Black,DC Comics
601,Sinestro,Thaal Sinestro,85,53,64,100,55,Korugaran,6'7,201 cm,205 lb,92 kg,Black,Black,DC Comics
602,Siren,Hila,62,79,60,92,60,Atlantean,5'9,175 cm,160 lb,72 kg,Blue,Purple,DC Comics
604,Siryn,Theresa Rourke Cassidy,8,47,28,50,42,,5'6,168 cm,115 lb,52 kg,Blue,Strawberry Blond,Marvel Comics
605,Skaar,,85,27,90,69,85,,6'6,198 cm,400 lb,180 kg,Green,Black,Marvel Comics
607,Snowbird,Narya,32,27,42,70,52,,5'10',178 cm,108 lb,49 kg,White,Blond,Marvel Comics
608,Sobek,Yurrd the Unknown,34,23,46,20,56,,-,0 cm,- lb,0 kg,White,No Hair,DC Comics
609,Solomon Grundy,Cyrus Gold,93,13,100,92,30,Zombie,9'2,279 cm,971 lb,437 kg,Black,White,DC Comics
610,Songbird,Melissa Joan Gold,36,27,42,55,56,,5'5,165 cm,145 lb,65 kg,Green,Red / White,Marvel Comics
611,Space Ghost,Thaddeus Bach,18,33,40,95,80,Human,6'2,188 cm,250 lb,113 kg,-,-,DC Comics
612,Spawn,Al Simmons,60,50,90,100,95,Demon,6'11,211 cm,900 lb,405 kg,Brown,Black,Image Comics
613,Spectre,Aztar,100,100,100,100,70,God / Eternal,-,0 cm,- lb,0 kg,White,No Hair,Aztar
615,Speedy,Thea Queen,6,33,20,26,70,Human,-,0 cm,- lb,0 kg,Green,Brown,DC Comics
618,Spider-Girl,May 'Mayday' Parker,38,60,65,53,75,Human,5'7,170 cm,119 lb,54 kg,Blue,Brown,Marvel Comics
619,Spider-Gwen,Gwen Stacy,55,63,70,66,70,Human,5'5,165 cm,125 lb,56 kg,Blue,Blond,Marvel Comics
620,Spider-Man,Peter Parker,55,67,75,74,85,Human,5'10,178 cm,165 lb,74 kg,Hazel,Brown,Marvel Comics
623,Spider-Woman,Jessica Drew,42,42,60,68,70,Human,5'10,178 cm,130 lb,59 kg,Green,Black,Marvel Comics
625,Spider-Woman III,Martha Franklin,48,27,42,60,28,,5'8,173 cm,123 lb,55 kg,Brown,Brown,Marvel Comics
627,Spock,S'chn T'gai Spock,18,17,40,56,40,Human-Vulcan,6'1,185 cm,180 lb,81 kg,Brown,Black,Star Trek
628,Spyke,Evan Daniels,12,17,60,48,30,Mutant,6'0,183 cm,185 lb,83 kg,Brown,Blond,Marvel Comics
630,Star-Lord,Peter Jason Quill,20,33,50,25,70,Human-Spartoi,6'2,188 cm,175 lb,79 kg,Blue,Blond,Marvel Comics
631,Stardust,,85,100,110,100,85,,-,0 cm,- lb,0 kg,-,-,Marvel Comics
632,Starfire,Koriand'r,80,33,85,59,70,Tamaranean,6'4,193 cm,158 lb,71 kg,Green,Auburn,DC Comics
633,Stargirl,Courtney Whitmore,80,25,90,87,55,Human,5'5,165 cm,137 lb,62 kg,Blue,Blond,DC Comics
634,Static,Virgil Hawkins,8,42,50,90,40,Mutant,5'7,170 cm,140 lb,63 kg,Brown,Black,DC Comics
635,Steel,John Henry Irons,82,53,90,64,64,,6'7,201 cm,290 lb,131 kg,Brown,No Hair,DC Comics
636,Stephanie Powell,Stephanie Powell,10,54,10,24,10,,-,0 cm,- lb,0 kg,-,Blond,ABC Studios
637,Steppenwolf,,100,83,100,100,100,New God,6'0,183 cm,203 lb,91 kg,Red,Black,DC Comics
638,Storm,Ororo Munroe,10,47,30,88,75,Mutant,5'11,180 cm,127 lb,57 kg,Blue,White,Marvel Comics
639,Stormtrooper,,8,8,15,5,20,Human,6'0,183 cm,- lb,0 kg,-,-,George Lucas
640,Sunspot,Roberto DaCosta,63,35,25,90,70,Mutant,5'8,173 cm,170 lb,77 kg,brown,black,Marvel Comics
641,Superboy,Kon-El / Conner Kent,95,83,90,95,60,,5'7,170 cm,150 lb,68 kg,Blue,Black,DC Comics
642,Superboy-Prime,Kal-El,100,100,100,100,85,Kryptonian,5'11,180 cm,170 lb,77 kg,Blue,Black / Blue,DC Comics
643,Supergirl,Kara Zor-El,100,100,100,100,75,Kryptonian,5'5,165 cm,120 lb,54 kg,Blue,Blond,DC Comics
644,Superman,Clark Kent,100,100,100,100,85,Kryptonian,6'3,191 cm,225 lb,101 kg,Blue,Black,Superman Prime One-Million
645,Swamp Thing,Alec Holland,95,25,100,100,55,God / Eternal,-,0 cm,- lb,0 kg,Red,No Hair,DC Comics
646,Swarm,Fritz von Meyer,18,50,90,38,35,Mutant,6'5,196 cm,104 lb,47 kg,Yellow,No Hair,Marvel Comics
647,Sylar,Gabriel Gray,10,12,28,91,56,,-,0 cm,- lb,0 kg,-,-,NBC - Heroes
648,Synch,Everett Thomas,67,23,28,74,56,,5'11,180 cm,165 lb,74 kg,Brown,Black,Marvel Comics
649,T-1000,Cyberdyne Systems Series 1000 Terminator,34,33,100,100,75,Android,6'0,183 cm,325 lb,146 kg,-,-,Dark Horse Comics
650,T-800,Cyberdyne Systems Series 800 Terminator Model 101,34,17,60,73,65,Cyborg,-,0 cm,390 lb,176 kg,Red,-,Dark Horse Comics
651,T-850,Cyberdyne Systems Series 850 Terminator,80,25,90,83,75,Cyborg,-,0 cm,440 lb,198 kg,Red,-,Dark Horse Comics
652,T-X,Cyberdyne Systems Series X Terminator,63,29,85,100,80,Cyborg,-,0 cm,330 lb,149 kg,-,-,Dark Horse Comics
653,Taskmaster,Tony Masters,12,50,20,63,100,Human,6'2,188 cm,220 lb,99 kg,Brown,Brown,Marvel Comics
654,Tempest,Angel Salvadore Bohusk,10,45,28,66,60,,5'4,163 cm,121 lb,54 kg,Brown,Black,Angel Salvadore
655,Thanos,Thanos,100,33,100,100,80,Eternal,6'7,201 cm,985 lb,443 kg,Red,No Hair,Marvel Comics
656,The Cape,Vince Faraday,10,23,32,22,64,,-,0 cm,- lb,0 kg,-,-,
657,The Comedian,Edward Morgen Blake,14,17,10,12,80,Human,6'2,188 cm,225 lb,101 kg,Brown,Black,DC Comics
658,Thing,Ben Grimm,84,21,100,38,80,Human / Radiation,6'0,183 cm,500 lb,225 kg,Blue,No Hair,Marvel Comics
659,Thor,Thor Odinson,100,83,100,100,100,Asgardian,6'6,198 cm,640 lb,288 kg,Blue,Blond,Rune King Thor
660,Thor Girl,Tarene,83,70,84,100,70,Asgardian,5'9,175 cm,317 lb,143 kg,Blue,Blond,Marvel Comics
661,Thunderbird,John Proudstar,32,27,32,13,70,,6'1,185 cm,225 lb,101 kg,Brown,Black,Marvel Comics
664,Thunderstrike,Eric Kevin Masterson,80,70,84,42,72,,6'6,198 cm,640 lb,288 kg,Blue,Blond,Marvel Comics
665,Thundra,Thundra,81,32,64,26,54,,7'2,218 cm,350 lb,158 kg,Green,Red,Marvel Comics
666,Tiger Shark,Todd Arliss,72,46,70,51,28,Human,6'1,185 cm,450 lb,203 kg,Grey,No Hair,Marvel Comics
667,Tigra,Greer Grant Nelson,32,53,38,33,90,,5'10,178 cm,180 lb,81 kg,Green,Auburn,Marvel Comics
668,Tinkerer,Phineas Mason,10,23,14,10,14,,5'4,163 cm,120 lb,54 kg,Brown,White,Marvel Comics
670,Toad,Mortimer Toynbee,34,58,56,70,28,Mutant,5'9,175 cm,169 lb,76 kg,Black,Brown,Marvel Comics
671,Toxin,Patrick Mulligan,73,70,84,82,70,Symbiote,6'2,188 cm,215 lb,97 kg,Blue,Brown,Marvel Comics
672,Toxin,Eddie Brock,80,42,85,97,70,Symbiote,6'3,191 cm,260 lb,117 kg,Black,Blond,Anti-Venom
676,Triplicate Girl,Luornu Durgo,10,23,42,44,42,,5'6,168 cm,130 lb,59 kg,Purple,Brown,DC Comics
677,Triton,Triton,63,50,65,35,55,Inhuman,6'2,188 cm,190 lb,86 kg,Green,No Hair,Marvel Comics
678,Two-Face,Harvey Dent,10,12,14,9,28,,6'0,183 cm,182 lb,82 kg,-,-,DC Comics
679,Ultragirl,Tsu-Zana,80,35,70,35,80,,5'6,168 cm,233 lb,105 kg,Blue,Blond,Marvel Comics
680,Ultron,Ultron,83,42,100,100,64,Android,6'9,206 cm,735 lb,331 kg,Red,-,Marvel Comics
681,Utgard-Loki,,80,23,84,85,64,Frost Giant,50'0,15.2 meters,128000 lb,58 tons,Blue,White,Marvel Comics
685,Vanisher,,10,75,56,61,42,,5'5,165 cm,175 lb,79 kg,Green,No Hair,Marvel Comics
686,Vegeta,Vegeta,100,92,95,100,100,Saiyan,5'6,168 cm,163 lb,73 kg,-,Black,Shueisha
687,Venom,Eddie Brock,57,65,84,86,84,Symbiote,6'3,191 cm,260 lb,117 kg,Blue,Strawberry Blond,Anti-Venom
688,Venom II,Angelo Fortunato,57,47,70,54,56,,5'9,175 cm,110 lb,50 kg,Brown,Black,Marvel Comics
689,Venom III,MacDonald Gargan,73,35,90,73,56,Symbiote,7'6,229 cm,742 lb,334 kg,Brown,Brown,Scorpion
690,Venompool,Wade Wilson,57,63,100,100,100,Symbiote,7'5,226 cm,- lb,0 kg,-,-,Deadpool
692,Vibe,Cisco Ramon,10,17,30,99,30,Human,5'10,178 cm,157 lb,71 kg,Brown,Black,DC Comics
693,Vindicator,Heather Hudson,63,53,64,58,70,Human,5'5,165 cm,120 lb,54 kg,Green,Red,Vindicator II
696,Violet Parr,Violet Parr,9,13,50,79,15,Human,4'6,137 cm,90 lb,41 kg,Violet,Black,Dark Horse Comics
697,Vision,Vision,72,54,95,100,70,Android,6'3,191 cm,300 lb,135 kg,Gold,No Hair,Anti-Vision
699,Vixen,Mari McCabe,38,50,50,62,25,Human,5'9,175 cm,140 lb,63 kg,Amber,Black,DC Comics
701,Vulture,Adrian Toomes,22,42,25,26,30,Human,5'11,180 cm,175 lb,79 kg,Brown,No Hair,Marvel Comics
702,Walrus,Hubert Carpent,28,8,50,11,20,Human,6'0,183 cm,360 lb,162 kg,Blue,Black,Marvel Comics
703,War Machine,James Rupert Rhodes,80,63,100,100,85,Human,6'1,185 cm,210 lb,95 kg,Brown,Brown,Marvel Comics
705,Warlock,Adam Warlock,36,79,95,71,95,,6'2',188 cm,240 lb,108 kg,Red,Blond,Marvel Comics
706,Warp,Emil LaSalle,10,23,28,85,50,,5'8,173 cm,148 lb,67 kg,Brown,Black,DC Comics
707,Warpath,James Proudstar,72,47,70,26,84,Mutant,7'2,218 cm,350 lb,158 kg,Brown,Black,Thunderbird II
708,Wasp,Janet Van Dyne,17,58,52,29,42,Human,5'4,163 cm,110 lb,50 kg,Blue,Auburn,Marvel Comics
709,Watcher,Uatu,80,67,89,100,56,,-,0 cm,- lb,0 kg,-,-,Marvel Comics
711,White Canary,,7,33,15,49,90,Human,-,0 cm,- lb,0 kg,Brown,Black,DC Comics
713,Wildfire,Drake Burroughs,32,23,100,77,42,,-,0 cm,- lb,0 kg,-,-,DC Comics
714,Winter Soldier,Bucky Barnes,32,35,65,60,84,Human,5'9,175 cm,260 lb,117 kg,Brown,Brown,Marvel Comics
716,Wolfsbane,Rahne Sinclair,16,35,42,26,42,,12',366 cm,1050 lb,473 kg,Green,Auburn,Marvel Comics
717,Wolverine,Logan,32,50,100,89,100,Mutant,5'3,160 cm,300 lb,135 kg,Blue,Black,Marvel Comics
718,Wonder Girl,Cassandra Elizabeth Sandsmark,90,25,80,39,60,Demi-God,5'5,165 cm,114 lb,51 kg,Blue,Blond,DC Comics
719,Wonder Man,Simon Williams,100,53,90,64,64,,6'2,188 cm,380 lb,171 kg,Red,Black,Marvel Comics
720,Wonder Woman,Diana Prince,100,79,100,100,100,Amazon,6'0,183 cm,165 lb,74 kg,Blue,Black,DC Comics
722,Wyatt Wingfoot,Wyatt Wingfoot,10,12,1,1,56,,6'5',196 cm,260 lb,117 kg,Brown,Black,Marvel Comics
723,X-23,Laura Kinney,24,42,100,55,95,Mutant / Clone,5'1,155 cm,110 lb,50 kg,Green,Black,Marvel Comics
724,X-Man,Nate Grey,53,53,95,100,84,,5'9,175 cm,135 lb,61 kg,Blue,Brown,Marvel Comics
726,Yellowjacket,Hank Pym,10,12,28,12,14,Human,6',183 cm,185 lb,83 kg,Blue,Blond,Ant-Man
727,Yellowjacket II,Rita DeMara,10,35,28,31,28,Human,5'5,165 cm,115 lb,52 kg,Blue,Strawberry Blond,Marvel Comics
728,Ymir,Ymir,100,27,100,98,28,Frost Giant,1000,304.8 meters,- lb,0 kg,White,No Hair,Marvel Comics
729,Yoda,Yoda,52,33,25,100,90,Yoda's species,2'2,66 cm,38 lb,17 kg,Brown,White,George Lucas
730,Zatanna,Zatanna Zatara,10,23,28,100,56,Human,5'7,170 cm,127 lb,57 kg,Blue,Black,DC Comics
731,Zoom,Hunter Zolomon,10,100,28,100,28,,6'1,185 cm,181 lb,81 kg,Red,Brown,DC Comics